gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G3400030,40.961314647720776,-74.07813181459741,1677.8292976695843,5487.5696131408695,-3034.3376657730596
G4500150,33.20019962201044,-79.95098761458834,1102.253254941342,6392.160420548059,-2654.388748781217
G5400030,39.46400803377227,-78.02760509200722,1557.407930089642,6088.307156394231,-3079.282034206982
G4200110,40.416278266101365,-75.92593420518021,1633.4755488829376,5764.747484929355,-3068.6436844502673
G2500030,42.3701093063876,-73.2067179262351,1795.2261626352329,5359.223549531352,-3101.7766404964655
G3500010,35.051701464619754,-106.6700305949534,1228.6217755648263,11378.495427128297,-3738.9660676361623
G1300190,31.275971571550148,-83.22958184978015,978.1863977444132,6927.163294889253,-2603.08603584573
G2600210,41.9544488881232,-86.41250745805249,1760.175781506142,7467.121445187977,-3625.389127443428
G3700150,36.06622981595244,-76.97907782144283,1300.7729331370967,5925.778422239751,-2776.3451117282443
G4800290,29.448879096294487,-98.51995506838136,867.2364800281704,9706.181546675884,-2901.302245381128
G0100070,32.998615852896684,-87.12646236978739,1088.9086482070445,7591.020445073978,-2875.0526623624723
G1300210,32.80659142685665,-83.69787195567386,1076.2724410487042,7005.333769908377,-2745.8418885471556
G2200130,32.34720968548413,-93.05596400135742,1046.3419744366784,8659.412436221928,-3010.1007800367715
G3000030,45.423079200238014,-107.4892596005,2063.256124031095,11553.940929463684,-4882.4931520084565
G5600030,44.52638583761311,-107.99420320877913,1982.5990357599935,11662.747926699076,-4808.591560299695
G2700110,45.42604572879883,-96.41059933318706,2063.525630554923,9295.00366378433,-4379.552294050258
G3800070,47.02276186242633,-103.37662528843782,2211.140133170456,10686.72665602608,-4861.054433079491
G1600110,43.21671172257168,-112.39795914566204,1867.6841721118644,12633.301220109914,-4857.470198603466
G1900130,42.47000605257208,-92.30879696785335,1803.7014141055092,8520.913997652373,-3920.3551659303794
G1800090,40.47357542099567,-85.32482139668478,1638.110307359025,7280.325146376157,-3453.400594081707
G3700170,34.61425107652864,-78.56297150216747,1198.146377588964,6172.140491250379,-2719.3984208941893
G1600130,43.41180849869805,-113.9763325007387,1884.585117127632,12990.604370318946,-4947.918719906003
G3000050,48.430660864080046,-108.95961538104456,2345.5289117315347,11872.197783985164,-5276.986180399969
G3100090,41.912708759240815,-99.9769090528632,1756.6751555369417,9995.38234376448,-4190.303071781762
G4000110,35.87495859717933,-98.43352224762654,1287.0126543493311,9689.158302073987,-3531.2985352081328
G4200130,40.48094420065384,-78.34877487292258,1638.7068433764496,6138.530524087904,-3171.6323838203684
G4800310,30.26626056959424,-98.39988314469936,916.0465288665752,9682.537002890487,-2978.196503275095
G5100210,37.13396980197015,-81.13041012621237,1378.9317132536312,6582.143447247422,-3012.6941996482237
G1300230,32.434425036358924,-83.32788570397942,1051.9919274391866,6943.536535895458,-2702.692062304005
G4700070,35.59633952378445,-85.20529439205916,1267.099387492539,7259.942192437468,-3032.996588403745
G0100090,33.980810951755046,-86.56755814223064,1154.6955129389155,7493.942122708482,-2941.6358277862028
G4700090,35.68720030910727,-83.92550313843789,1273.576265902346,7043.490077039948,-2995.066241544044
G2700130,44.03449827278587,-94.06704248660648,1939.0370381359817,8848.60848217703,-4142.195019902548
G1600150,43.98902956063439,-115.73091480601568,1935.0347216863663,13393.644641837262,-5090.890632481085
G2800110,33.79533462089345,-90.8806099611209,1142.1246421381593,8259.285266905386,-3071.340624186983
G2900170,37.321928109882485,-90.0260349398795,1392.9263178392364,8104.6869669964035,-3359.945204043951
G4600090,42.98825746264974,-97.88471489263009,1847.9902796750612,9581.417409611478,-4207.893325462448
G1700050,38.886767697390695,-89.4355382067914,1512.1807019508285,7998.715494338446,-3477.8589981386076
G1600170,48.2990848053245,-116.60034443804932,2332.801593031928,13595.640323071742,-5631.689924343391
G1600190,43.38785685793439,-111.61382955114624,1882.506122724604,12457.646947072326,-4842.684859931021
G0500090,36.30850506094724,-93.09151601947713,1318.307539760831,8666.030354804567,-3380.013780524436
G1700070,42.322940590184096,-88.82336232719788,1791.2313002002525,7889.589695108676,-3759.265886794392
G1800110,40.050788178366254,-86.46869425876179,1604.0656337083622,7476.835086815224,-3463.1393578175825
G1900150,42.036458364009135,-93.93167028846396,1767.0638317890737,8823.158683180702,-3948.554747142849
G2100150,38.969873424270624,-84.72794842419148,1518.6510347036738,7178.825244172452,-3301.8374255888716
G2900190,38.99038447684372,-92.30964404416116,1520.250081652096,8521.070383559738,-3599.188512202431
G3100110,41.70662091113104,-98.06728165409432,1739.442227824793,9617.191731023464,-4090.054939732427
G5400050,38.02290860741683,-81.71112121164826,1445.7415789679728,6676.707329664675,-3106.8944940400606
