gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G4405.00,1850,0.0,0.0,995.0,68.0,2.2965747702589807,,0.0683417085427135
G4409.00,1850,0.0,0.0,841.0,68.0,2.387721602101116,,0.0808561236623067
G4507.00,1850,0.0,0.0,436.0,19.0,3.328761429758936,,0.0435779816513761
G45011.0,1850,0.0,0.0,211.0,8.0,2.9047224523612263,,0.0379146919431279
G45013.0,1850,0.0,0.0,145.0,6.0,2.593841642228739,,0.0413793103448275
G45019.0,1850,0.0,0.0,537.0,64.0,2.1830218068535827,,0.1191806331471136
G45025.0,1850,0.0,0.0,215.0,12.0,3.1109324758842445,,0.055813953488372
G45029.0,1850,0.0,0.0,129.0,9.0,2.8714918759231907,,0.0697674418604651
G45031.0,1850,0.0,0.0,134.0,2.0,2.9676923076923076,,0.0149253731343283
G45037.0,1850,0.0,0.0,453.0,19.0,3.0111148534860224,,0.0419426048565121
G45039.0,1850,0.0,0.0,222.0,12.0,2.857258064516129,,0.054054054054054
G45045.0,1850,0.0,0.0,410.0,23.0,3.376348726801899,,0.0560975609756097
G45051.0,1850,0.0,0.0,135.0,9.0,3.197080291970803,,0.0666666666666666
G45057.0,1850,0.0,0.0,170.0,10.0,3.0500927643784785,,0.0588235294117647
G45059.0,1850,0.0,0.0,330.0,8.0,3.0670498084291187,,0.0242424242424242
G45063.0,1850,0.0,0.0,210.0,11.0,3.259953161592506,,0.0523809523809523
G45067.0,1850,0.0,0.0,262.0,8.0,3.091301998919503,,0.0305343511450381
G45079.0,1850,0.0,0.0,186.0,5.0,2.175548589341693,,0.0268817204301075
