gisjoin,state,county,year,religious_diversity_index,source,rdi_zscore
G1700550,Illinois,Franklin,1850,0.6399999999999999,churches_proxy,0.2121895791901217
G1700570,Illinois,Fulton,1850,0.7168367346938775,churches_proxy,0.586194478666972
G1700590,Illinois,Gallatin,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G1700610,Illinois,Greene,1850,0.5612366230677763,churches_proxy,-0.1711933038716796
G1700630,Illinois,Grundy,1850,0.0,churches_proxy,-2.903027857089828
G1700650,Illinois,Hamilton,1850,0.4615384615384615,churches_proxy,-0.6564768213110176
G1700670,Illinois,Hancock,1850,0.7810650887573964,churches_proxy,0.8988277419204662
G1700690,Illinois,Hardin,1850,0.2448979591836735,churches_proxy,-1.7109803687173977
G1700710,Illinois,Henderson,1850,0.4489795918367346,churches_proxy,-0.7176074617403734
G1700730,Illinois,Henry,1850,,churches_proxy,
G1700750,Illinois,Iroquois,1850,0.0,churches_proxy,-2.903027857089828
G1700770,Illinois,Jackson,1850,0.7700831024930748,churches_proxy,0.8453726245835884
G1700790,Illinois,Jasper,1850,0.4489795918367346,churches_proxy,-0.7176074617403734
G1700810,Illinois,Jefferson,1850,0.6031746031746033,churches_proxy,0.0329409568644905
G1700830,Illinois,Jersey,1850,0.62,churches_proxy,0.1148390343063737
G1700850,Illinois,Jo Daviess,1850,0.6836734693877551,churches_proxy,0.4247713812832054
G1700870,Illinois,Johnson,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G1700890,Illinois,Kane,1850,0.7469135802469136,churches_proxy,0.7325943438155922
G1700930,Illinois,Kendall,1850,0.54,churches_proxy,-0.2745631452286198
G1700950,Illinois,Knox,1850,0.6836734693877551,churches_proxy,0.4247713812832054
G1700970,Illinois,Lake,1850,0.71875,churches_proxy,0.5955073496698817
G1700990,Illinois,La Salle,1850,0.8099173553719008,churches_proxy,1.0392669357231252
G1701010,Illinois,Lawrence,1850,0.7218934911242604,churches_proxy,0.6108083783590804
G1701030,Illinois,Lee,1850,0.7222222222222222,churches_proxy,0.6124084859344213
G1701050,Illinois,Livingston,1850,0.0,churches_proxy,-2.903027857089828
G1701070,Illinois,Logan,1850,,churches_proxy,
G1701090,Illinois,McDonough,1850,0.7337278106508875,churches_proxy,0.6684122510713574
G1701110,Illinois,McHenry,1850,0.72,churches_proxy,0.6015917587251158
G1701130,Illinois,McLean,1850,0.7107438016528926,churches_proxy,0.5565369610929682
G1701150,Illinois,Macon,1850,0.72,churches_proxy,0.6015917587251158
G1701170,Illinois,Macoupin,1850,0.73,churches_proxy,0.6502670311669901
G1701190,Illinois,Madison,1850,0.8362919132149902,churches_proxy,1.16764581457776
G1701210,Illinois,Marion,1850,0.7160493827160495,churches_proxy,0.582362021464129
G1701230,Illinois,Marshall,1850,0.5599999999999999,churches_proxy,-0.1772126003448718
G1701250,Illinois,Mason,1850,0.0,churches_proxy,-2.903027857089828
G1701270,Illinois,Massac,1850,0.6111111111111112,churches_proxy,0.0715721254691524
G1701290,Illinois,Menard,1850,0.6153846153846153,churches_proxy,0.0923735239485852
G1701310,Illinois,Mercer,1850,0.71875,churches_proxy,0.5955073496698817
G1701330,Illinois,Monroe,1850,0.7890625,churches_proxy,0.9377553590268096
G1701350,Illinois,Montgomery,1850,0.7638888888888888,churches_proxy,0.815222121108897
G1701370,Illinois,Morgan,1850,0.7839335180055402,churches_proxy,0.9127898994338302
G1701390,Illinois,Moultrie,1850,0.6938775510204082,churches_proxy,0.4744400266320567
G1701410,Illinois,Ogle,1850,0.7222222222222222,churches_proxy,0.6124084859344213
G1701430,Illinois,Peoria,1850,0.8476454293628809,churches_proxy,1.2229093637449395
G1701450,Illinois,Perry,1850,0.48,churches_proxy,-0.5666147798798654
G1701470,Illinois,Piatt,1850,0.5,churches_proxy,-0.4692642349961168
G1701490,Illinois,Pike,1850,0.7890625,churches_proxy,0.9377553590268096
G1701510,Illinois,Pope,1850,0.6825208085612366,churches_proxy,0.4191607733068193
G1701530,Illinois,Pulaski,1850,0.7218934911242603,churches_proxy,0.6108083783590799
G1701550,Illinois,Putnam,1850,0.65625,churches_proxy,0.2912868969081678
G1701570,Illinois,Randolph,1850,0.7777777777777778,churches_proxy,0.882826666167056
