gisjoin,year,bpd_fc
G4802090,1850,0.8408163265306122
G4802230,1850,0.872879299936245
G4802310,1850,0.8841440673450903
G4802410,1850,0.8903703703703704
G4802450,1850,0.7972972972972974
G4802770,1850,0.8524178676319923
G4802910,1850,0.8444125044915559
G4802930,1850,0.8641417351254228
G4803210,1850,0.9191618745455749
G4803250,1850,0.9012345679012346
G4803470,1850,0.876152741020794
G4803650,1850,0.8838293126109473
G4803870,1850,0.8779246603567481
G4803950,1850,0.8601367419738407
G4804010,1850,0.8440035714250634
G4804490,1850,0.8396877498632327
G4804590,1850,0.867278816810238
G4804670,1850,0.8500239778153083
G4804770,1850,0.8892035783826473
G49021.0,1850,0.8594444444444445
G49035.0,1850,0.8794099559357034
G49049.0,1850,0.912051951142806
G49057.0,1850,0.8817148760330579
G5001.00,1850,0.4962311244676973
G5003.00,1850,0.5065398939388315
G5005.00,1850,0.5492966978518552
G5007.00,1850,0.4904959980545215
G51069.0,1850,0.19138765335083
G54021.0,1850,0.1548437622366668
G51073.0,1850,0.0785952963983269
G51077.0,1850,0.3806863905325442
G51079.0,1850,0.0123369305375315
G54027.0,1850,0.2112495246041859
G54029.0,1850,0.6557168545239244
G54031.0,1850,0.1646699910877512
G54033.0,1850,0.2483789468066525
G51087.0,1850,0.1997028857851546
G51089.0,1850,0.1447643497513994
G51091.0,1850,0.095708750862104
G54035.0,1850,0.4431950072489669
G51095.0,1850,0.1299344454849925
G54037.0,1850,0.4110490824531944
G54039.0,1850,0.2226989657537313
G51099.0,1850,0.0521184117785261
G5101010,1850,0.0244743106526482
G5101050,1850,0.3979427731263488
G54041.0,1850,0.1642123483116658
G54045.0,1850,0.0914993646338268
G5101090,1850,0.0211285625318373
G5101130,1850,0.049234375
G54053.0,1850,0.3975111130811413
G5101150,1850,0.0544648300563939
G5101170,1850,0.0703937007874014
G54055.0,1850,0.0675602637552695
G5101190,1850,0.059445682366228
G54061.0,1850,0.5057666397923241
G54063.0,1850,0.0866144362819002
G5101210,1850,0.111394267171444
G54065.0,1850,0.4065089163237312
G5101230,1850,0.1566768553887366
G54067.0,1850,0.1161417555295758
G5101330,1850,0.0256456688339865
G5101350,1850,0.0273949329992142
G5101390,1850,0.0711773596746736
G5101430,1850,0.0549182511050215
G5101530,1850,0.2024952387316648
G54079.0,1850,0.1689207804045597
G5101590,1850,0.0211653449909533
G0105.00,1860,0.7273028564453125
G0109.00,1860,0.7760545582611197
G01017.0,1860,0.6151944767862928
G01019.0,1860,0.775886229042008
G01025.0,1860,0.6993815817587985
G01035.0,1860,0.745021899777633
G01037.0,1860,0.6971829790517341
G01039.0,1860,0.7305045187973718
G01057.0,1860,0.7816519047541624
G01059.0,1860,0.7983798832801682
G01071.0,1860,0.7513351178510536
G01077.0,1860,0.7946497620059035
G01083.0,1860,0.7729942949371628
G01085.0,1860,0.7672000328731099
G01089.0,1860,0.777047091401528
G01099.0,1860,0.7205584925122953
G0101070,1860,0.7330434257613043
G0101110,1860,0.5873468642615489
G0101150,1860,0.7631399556630003
G0101290,1860,0.7657290870137295
G06067.0,1860,0.9053408438728876
G06071.0,1860,0.9165211857483166
G06073.0,1860,0.8778616024973985
G06079.0,1860,0.8124506194004264
G06081.0,1860,0.8992267931137596
G06085.0,1860,0.9199368939477324
G06089.0,1860,0.9099220647291312
G06091.0,1860,0.888101105998616
G06075.0,1860,0.8540480609405503
G06093.0,1860,0.904838396955514
G06097.0,1860,0.9237903253236344
G0601030,1860,0.9136339305185666
G0601050,1860,0.926021071800208
G0601070,1860,0.9305864175499272
G0601090,1860,0.9018954624723524
G19073.0,1860,0.8484297520661157
G19079.0,1860,0.8522591998343771
G19081.0,1860,0.7729591836734695
G19089.0,1860,0.6930160887184837
G19093.0,1860,0.8284023668639053
G19095.0,1860,0.8413814322582045
